time,volume,VNID_price_change_ratio,VNID_change_ratio
31/05/2021,700319900,0.001055289639316974,0.015428635970031256
06/01/2021,600477200,0.006250611145794899,0.0130813736189807
06/02/2021,755624100,0.007355427163239366,0.01056101672160987
06/03/2021,856882400,0.014176225273377344,0.015238807282962416
06/04/2021,887731100,0.005113162553216398,0.0099195808012808
06/07/2021,840122900,-0.011501611,0.02099677652011361
06/08/2021,874573200,-0.026177547,0.03513198169530572
06/09/2021,769829300,0.007087161508704145,0.02030159801935642
06/10/2021,674214800,-0.005768971,0.014521222744375126
06/11/2021,705032900,0.018804784479834823,0.02248213413822192
14/06/2021,715610800,0.0066458199345028265,0.011602972710983135
15/06/2021,706567000,0.004245068229556818,0.011796454481628913
16/06/2021,740320300,-0.005374491,0.014308672190605434
17/06/2021,712336800,0.014063502005876045,0.019898229307606288
