time,symbol,symbol_price_change,symbol_price_change_ratio
2021-05-25,ACB,0.1899999999999995,0.013503909026297051
2021-05-26,ACB,0.15000000000000036,0.010504201680672294
2021-05-27,ACB,-0.10999999999999943,-0.007617728531855917
2021-05-28,ACB,0.2400000000000002,0.016724738675958202
2021-05-31,ACB,0.7099999999999991,0.04790823211875837
2021-06-01,ACB,-0.14999999999999858,-0.009404388714733454
2021-06-02,ACB,0.7300000000000004,0.04562500000000003
2021-06-03,ACB,-0.15000000000000213,-0.008635578583765234
2021-06-04,ACB,0.120000000000001,0.007109004739336552
2021-06-07,ACB,-0.7200000000000024,-0.042729970326409634
2021-06-08,ACB,-0.8800000000000008,-0.05513784461152887
2021-06-09,ACB,0.8499999999999996,0.05636604774535807
2021-06-10,ACB,-0.1899999999999995,-0.011742892459826916
